term,weeb_freq,non_weeb_freq,specificity,similarity,combined_score
love love,0.0002508189830386661,8.711910201581724e-05,1.0574545755503888,0.0,0.7402182028852721
pencil,0.00024423308251050635,8.488444384685754e-05,1.0568314094916231,0.0,0.7397819866441362
27,0.0012031668823412674,0.00041823416894079914,1.0566707837392093,0.0,0.7396695486174465
remembering,0.0002569442996880498,8.947153519556228e-05,1.0549380680031362,0.0,0.7384566476021953
fitness,0.000203576596155499,7.092972349049933e-05,1.0543518324560972,0.0,0.738046282719268
killer,0.00034027005139164397,0.00011869916188701887,1.0531467817390117,0.0,0.7372027472173082
suddenly,0.00041684676314189604,0.00014555672826379261,1.0521523370621244,0.0,0.7365066359434871
lifestyle,0.00032674535005092935,0.00011410275565376353,1.0520811433489279,0.0,0.7364568003442494
spaghetti,0.0001634079260294076,5.7087871355252916e-05,1.0516568649339817,0.0,0.7361598054537871
trilogy,0.0003034669323502398,0.00010616248928092101,1.0503011996344223,0.0,0.7352108397440955
bundle,0.00021825902247267422,7.670821979828775e-05,1.0456728176803791,0.0,0.7319709723762653
gray,0.0002634842480083249,9.282411408882647e-05,1.0432864324314657,0.0,0.730300502702026
edition,0.0006941905408494487,0.00024478228890922454,1.042377014094353,0.0,0.729663909866047
stone,0.0005680630383490285,0.0002004065756862391,1.0418838911451673,0.0,0.7293187238016171
etc,0.001985913631138863,0.0007022385274349253,1.0395611337762374,0.0,0.7276927936433661
edit,0.0004861585745613679,0.00017201357381174448,1.0389610889218872,0.0,0.727272762245321
blue,0.003221516530936243,0.0011411705990290045,1.03779758761701,0.0,0.726458311331907
hyped,0.0002600921605416523,9.213897993828773e-05,1.037737242326487,0.0,0.7264160696285409
irl,0.00046094177763906147,0.00016349846958834698,1.0364677145700734,0.0,0.7255274001990513
cus,0.00027261924720033755,9.679549256717433e-05,1.03547502768411,0.0,0.7248325193788769
este,0.0003550752998324463,0.00012618177584300294,1.0346058355799224,0.0,0.7242240849059456
villain,0.0008493212706265063,0.00030199231613995065,1.034035738164911,0.0,0.7238250167154376
clips,0.00022563520560199557,0.00011479030101316406,0.675812138320717,0.8356871008872986,0.7237746270906914
pc,0.0007183901117696084,0.0002565753513660443,1.0295901131253444,0.0,0.7207130791877411
read book,0.00022719716142211154,8.127890704281517e-05,1.027930865919738,0.0,0.7195516061438165
myart,0.00036941223975038746,0.00013231716006141322,1.0267109479048961,0.0,0.7186976635334272
battles,0.00022466492789773113,8.048337934655892e-05,1.0265585901395493,0.0,0.7185910130976845
sexuality,0.00024317631176545024,8.717776965356906e-05,1.0258366439633484,0.0,0.7180856507743438
original,0.0022769622020471195,0.0008164285032437321,1.0256580438103542,0.0,0.7179606306672479
recommendation,0.00029947912118676663,0.00010740282746936374,1.0254575974750018,0.0,0.7178203182325011
discord,0.0011043669773557697,0.00039658773983822806,1.0241301145843156,0.0,0.7168910802090208
fighters,0.00031894165741081214,0.00011458860299494756,1.023659285749823,0.0,0.7165615000248761
cherry,0.0003471999387486326,0.0001248736150276876,1.0225981475421866,0.0,0.7158187032795306
started,0.0030059897380266425,0.0010821903556750333,1.0216197239466793,0.0,0.7151338067626755
exclusive,0.0002078281144243063,7.487714713943771e-05,1.0208617784093976,0.0,0.7146032448865783
author,0.0007656539489099462,0.0002764297766141782,1.0187732564476328,0.0,0.7131412795133429
length,0.0003277441471215773,0.00011835923919850696,1.0185083253111469,0.0,0.7129558277178027
star wars,0.000577396260402809,0.00020852423416393236,1.0184732187375853,0.0,0.7129312531163097
peeps,0.0002922369118971782,0.00010574543289037957,1.0165295827470668,0.0,0.7115707079229467
paradise,0.0002868850111615124,0.00010383966399524687,1.0162328458924477,0.0,0.7113629921247133
main,0.0017315354684317435,0.0006273756992541923,1.0152181836677416,0.0,0.7106527285674191
wip,0.0010754990954536428,0.0003902769443728616,1.013683343523185,0.0,0.7095783404662294
amzn to,0.0002634214094553823,9.587829538090675e-05,1.0106747730533419,0.0,0.7074723411373393
loving,0.0007862888618756903,0.0002864245501330172,1.009848860558846,0.0,0.7068942023911922
director,0.000282698816577029,0.00010318714459968323,1.0078371857116346,0.0,0.7054860299981441
highly,0.0007724124545557678,0.0002821571148557289,1.007054389297056,0.0,0.7049380725079392
cos,0.0002416644602160833,8.846381712637948e-05,1.004955897012362,0.0,0.7034691279086533
focused,0.0003719396348400167,0.00013637762013174682,1.0033034481060268,0.0,0.7023124136742187
medium,0.00034287364301825946,0.00012600339579679098,1.0010526322596571,0.0,0.7007368425817599
halloween,0.00031707298419694205,0.00011659209280772816,1.0004499821993977,0.0,0.7003149875395783
viral,0.0002702703989083212,9.960337127341968e-05,0.9982262891663902,0.0,0.6987584024164731
somewhat,0.00033271182123641846,0.0001229266353295836,0.9956884839952718,0.0,0.6969819387966902
enjoyed,0.001125572679432737,0.0004158896661518344,0.9956270824111172,0.0,0.696938957687782
mal,0.0003268630537540512,0.00012080407297217641,0.9953707638813545,0.0,0.6967595347169481
entertainment,0.0002528241156718513,9.355957979266005e-05,0.9940949282973989,0.0,0.6958664498081791
frozen,0.00026562621526891904,9.83109351318448e-05,0.9939542106806654,0.0,0.6957679474764658
ray,0.0004532381516774938,0.00016794175481359502,0.992800111920989,0.0,0.6949600783446923
anatomy,0.00021153080323374303,7.844134423208529e-05,0.9920186893005599,0.0,0.6944130825103919
channel,0.0010216175739478225,0.00037947181798807114,0.9903620081294864,0.0,0.6932534056906404
arcade,0.00020322423996369288,7.55466192198025e-05,0.9895592293248133,0.0,0.6926914605273693
fighting,0.0012265787209318451,0.00045612179797485734,0.9892240326486985,0.0,0.6924568228540889
unique,0.0005847781958466593,0.00021754649505166082,0.9888197362342109,0.0,0.6921738153639476
sports,0.0012287835865623224,0.0004575452440593501,0.9879040938934436,0.0,0.6915328657254105
cable,0.0002192224580996322,8.17077555938192e-05,0.9869373118745388,0.0,0.6908561183121771
years old,0.0004215691578335014,0.00015744397271663755,0.984913775373976,0.0,0.6894396427617832
sorts,0.0002436872898692808,9.13836395688888e-05,0.980818656235496,0.0,0.6865730593648471
dallas,0.0003437261237748895,0.00012891831322564955,0.980665730726166,0.0,0.6864660115083162
drop,0.0013223181490454308,0.0004964834427703841,0.9795913880035406,0.0,0.6857139716024784
pasta,0.000369710851578865,0.00013882511012546297,0.9795058276580717,0.0,0.6856540793606501
banger,0.000548459536821842,0.00020610278059126675,0.9787382242488395,0.0,0.6851167569741876
personality,0.0003516857158087485,0.00013216933972710364,0.9786534745678458,0.0,0.685057432197492
skyrim,0.00016891812890193752,6.353978136437293e-05,0.9777469834391874,0.0,0.6844228884074312
pretty good,0.0007216113027265972,0.0002722918302360119,0.9746120069513723,0.0,0.6822284048659606
batman,0.0003758706938778381,0.00014209687117903378,0.9727357308696778,0.0,0.6809150116087744
crystal,0.00022236785227632577,8.41217322682423e-05,0.9720673203182665,0.0,0.6804471242227865
journey,0.0008074704763392123,0.0003060453115507217,0.9701731217607565,0.0,0.6791211852325295
pls,0.0009151612617785106,0.00034687493551382423,0.9701358145150072,0.0,0.679095070160505
tastes,0.0003991962935609489,0.00015132400339555122,0.9700295934956117,0.0,0.6790207154469281
que eu,0.00020875814467259177,7.922189419795368e-05,0.9689228936013715,0.0,0.67824602552096
macy,0.0005040960941939457,0.00019166795214394213,0.9670021306753505,0.0,0.6769014914727453
pizza,0.0007320192121044278,0.0002787255512992567,0.9655789269095666,0.0,0.6759052488366966
launch,0.0003958503816110186,0.00015089102638220935,0.9644780088464449,0.0,0.6751346061925113
1st,0.0006525138321827057,0.000249523691859385,0.9612782221739231,0.0,0.6728947555217462
fishing,0.0002385018522465943,9.135690962974171e-05,0.9596024821666934,0.0,0.6717217375166854
culture,0.0010060088296834377,0.0003857952968439684,0.9584390581015246,0.0,0.6709073406710672
bros,0.0002429614782268726,9.321994992592064e-05,0.9579404900310948,0.0,0.6705583430217663
alongside,0.0002405344697321433,9.241545129971634e-05,0.9565685517104734,0.0,0.6695979861973314
title,0.0011450366095470041,0.0004408122328845253,0.9545727403536609,0.0,0.6682009182475626
